asset,date,close,sma30,sma50,sma60,sma100,sma120,sma200,ratio30,ratio50,ratio60,ratio100,ratio120,ratio200,drawdown
KOSDAQ,2024-12-16,698.53,691.834,716.8678,724.361,741.0944,758.2808,801.7876,100.9679,97.442,96.434,94.2566,92.1202,87.1216,-23.7488
KOSDAQ,2024-12-17,694.47,689.9227,715.137,723.6103,739.7519,756.9625,800.9093,100.6591,97.1101,95.9729,93.8788,91.7443,86.7102,-24.192
KOSDAQ,2024-12-18,697.57,688.398,713.5236,722.7643,738.628,755.7629,800.0543,101.3324,97.7641,96.5142,94.4413,92.3001,87.1903,-23.8536
KOSDAQ,2024-12-19,684.36,686.7593,711.7012,721.585,737.3504,754.4493,799.1391,99.6506,96.1583,94.8412,92.8134,90.7099,85.6371,-25.2956
KOSDAQ,2024-12-20,668.31,684.257,709.6478,719.9343,735.891,753.0009,798.2119,97.6694,94.1749,92.8293,90.8164,88.7529,83.7259,-27.0476
KOSDAQ,2024-12-23,679.24,682.6037,707.8274,718.6,734.7105,751.6725,797.2912,99.5072,95.9612,94.5227,92.45,90.3638,85.1935,-25.8544
KOSDAQ,2024-12-24,680.11,681.59,705.9534,716.9488,733.536,750.3364,796.3769,99.7829,96.3392,94.8617,92.7166,90.6407,85.4005,-25.7595
KOSDAQ,2024-12-26,675.64,681.123,704.1504,715.3013,732.2125,748.9072,795.3903,99.195,95.9511,94.4553,92.2738,90.2168,84.9445,-26.2474
KOSDAQ,2024-12-27,665.97,680.6033,702.1686,713.6695,730.8344,747.541,794.3883,97.8499,94.8447,93.3163,91.1246,89.0881,83.8343,-27.303
KOSDAQ,2024-12-30,678.19,680.3623,700.668,712.2705,729.5848,746.2251,793.4259,99.6807,96.7919,95.2152,92.9556,90.8828,85.4762,-25.9691
KOSDAQ,2025-01-02,686.63,680.265,699.2016,710.898,728.3158,744.9402,792.5422,100.9357,98.202,96.5863,94.2764,92.1725,86.6364,-25.0478
